"candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_record_id","source_url","source_license","duplicate_cluster_id","duplicate_candidate_ids","initial_review_status","final_decision","corrected_name","standardized_categories","second_source_url","verified_by","verified_at","review_notes"
"wikidata-Q126652119-badulla","Kurullangala Prehistoric Cave Paintings","6.81065","81.0641","Badulla","archaeological site","Wikidata","Q126652119","https://www.wikidata.org/wiki/Q126652119","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16900587-batticaloa","St. Mary's Cathedral, Batticaloa","6.71246","81.6958","Batticaloa","cathedral","Wikidata","Q16900587","https://www.wikidata.org/wiki/Q16900587","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16736534-colombo","Wolvendaal Church","6.9421","79.859","Colombo","church building","Wikidata","Q16736534","https://www.wikidata.org/wiki/Q16736534","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q6434031-galle","Kothduwa temple","6.3073167","80.0520556","Galle","Buddhist temple","Wikidata","Q6434031","https://www.wikidata.org/wiki/Q6434031","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18356982-gampaha","Gampaha Botanical Garden","7.09889","79.9861","Gampaha","botanical garden","Wikidata","Q18356982","https://www.wikidata.org/wiki/Q18356982","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19719135-hambantota","Yatala Vehera","6.2855556","81.2758333","Hambantota","Buddhist temple","Wikidata","Q19719135","https://www.wikidata.org/wiki/Q19719135","CC0 1.0","dup-99e55b219682","osm-way-403504647-hambantota","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-way-403504647-hambantota; retained as supporting source evidence."
"wikidata-Q12973620-jaffna","Fort Hammenheil","9.711696","79.848006","Jaffna","fort","Wikidata","Q12973620","https://www.wikidata.org/wiki/Q12973620","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q3217592-kandy","Lankatilaka Vihara","7.23388","80.5647","Kandy","Buddhist temple","Wikidata","Q3217592","https://www.wikidata.org/wiki/Q3217592","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q30622076-kegalle","Beligammana Raja Maha Vihara","7.2501389","80.4545","Kegalle","Buddhist temple","Wikidata","Q30622076","https://www.wikidata.org/wiki/Q30622076","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q29579545-kurunegala","Nikasala Aranya Senasanaya","7.5778611","80.1241389","Kurunegala","Buddhist temple","Wikidata","Q29579545","https://www.wikidata.org/wiki/Q29579545","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q97354617-mannar","Vankalai Sanctuary","8.9333333","79.9166667","Mannar","bird sanctuary|wildlife refuge","Wikidata","Q97354617","https://www.wikidata.org/wiki/Q97354617","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q272153-matale","Sigiriya","7.9569444","80.7597222","Matale","human settlement","Wikidata","Q272153","https://www.wikidata.org/wiki/Q272153","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q2927591-monaragala","Buduruvagala","6.6870222","81.0783806","Monaragala","Buddhist temple","Wikidata","Q2927591","https://www.wikidata.org/wiki/Q2927591","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19710937-nuwara-eliya","Dunsinane Falls","7.0117222","80.7056667","Nuwara Eliya","waterfall","Wikidata","Q19710937","https://www.wikidata.org/wiki/Q19710937","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q6936796-puttalam","Munneswaram temple","7.5807778","79.8166722","Puttalam","temple","Wikidata","Q6936796","https://www.wikidata.org/wiki/Q6936796","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q23010020-ratnapura","Delgamuwa Raja Maha Vihara","6.7758611","80.3563333","Ratnapura","Buddhist temple","Wikidata","Q23010020","https://www.wikidata.org/wiki/Q23010020","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q26218750-trincomalee","Maritime and Naval History Museum","8.5698056","81.2374444","Trincomalee","museum","Wikidata","Q26218750","https://www.wikidata.org/wiki/Q26218750","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-10243221107-ampara","Bogahalanda Natabun Viharaya","6.8695377","81.7381128","Ampara","historic=ruins","OpenStreetMap","node/10243221107","https://www.openstreetmap.org/node/10243221107","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10811136108-anuradhapura","Rock cave with stone doorway","8.3265829","80.3895948","Anuradhapura","tourism=attraction","OpenStreetMap","node/10811136108","https://www.openstreetmap.org/node/10811136108","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-11612530869-badulla","Summit level","6.848736","80.833256","Badulla","tourism=attraction","OpenStreetMap","node/11612530869","https://www.openstreetmap.org/node/11612530869","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-way-223504048-batticaloa","Natural History and Science Museum","7.7132065","81.69994","Batticaloa","tourism=museum","OpenStreetMap","way/223504048","https://www.openstreetmap.org/way/223504048","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10160885071-colombo","Golden Jubilee 1917-1967","6.9134897","79.8581929","Colombo","historic=monument","OpenStreetMap","node/10160885071","https://www.openstreetmap.org/node/10160885071","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q7590097-galle","St. Mary's Cathedral, Galle","6.03606","80.2127","Galle","cathedral","Wikidata","Q7590097","https://www.wikidata.org/wiki/Q7590097","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-4085929738-gampaha","Buddha Statue","7.0696719","79.9175114","Gampaha","historic=monument","OpenStreetMap","node/4085929738","https://www.openstreetmap.org/node/4085929738","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-12310428142-hambantota","Dematagala Cave Temple","6.5061528","81.5285336","Hambantota","historic=ruins","OpenStreetMap","node/12310428142","https://www.openstreetmap.org/node/12310428142","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-1642999046-jaffna","Casuarina Beach","9.7623085","79.8858088","Jaffna","tourism=viewpoint","OpenStreetMap","node/1642999046","https://www.openstreetmap.org/node/1642999046","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q5370021-kandy","Embekka Devalaya","7.2179167","80.5677222","Kandy","temple","Wikidata","Q5370021","https://www.wikidata.org/wiki/Q5370021","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q48732862-kegalle","Dodanthale Raja Maha Vihara","7.2299167","80.4294167","Kegalle","Buddhist temple","Wikidata","Q48732862","https://www.wikidata.org/wiki/Q48732862","CC0 1.0","","","unreviewed","","","","","","",""
